"","Estimate","Std..Error","t.value","Pr...t.."
"GRLN",0.788355986888888,0.309002112678814,2.55129642983486,0.014201482775988
"GRLS",0.1366894382,0.414569837484527,0.329713900628629,0.743146075674437
"GRLW",0.188017155933333,0.239352007269591,0.785525712017792,0.43626199236597
"GRSN",-0.466630829333333,0.309002112678814,-1.51012180883813,0.138002833198907
"GRSS",-0.510585368,0.414569837484527,-1.23160278880409,0.224495000684272
"GRSW",-0.4807880135,0.327746233914239,-1.46695206153248,0.149343513311672
